NUM_SPEDIZIONE;NUMERO_COLLO;CODICE_CLIENTE;RAGIONE_SOCIALE;NUMERO_CONFERMA;CODICE_ARTICOLO;DESCRIZIONE_ARTICOLO;PESO_NETTO;PESO_LORDO;BASE_MAGGIORE;BASE_MINORE;ALTEZZA;VOLUME;FLAG_PALETTIZZABILE;FLAG_SOVRAPPONIBILE;FLAG_RUOTABILE
17362;1;2;ERIO SRL;58534;PL/AR;POSTO LAV.3 CASS.+ ASPIR. 800W;40,7;48,7;72;61;44;0,19325;;;N
17362;2;2;ERIO SRL;58534;C4;CASSETTIERA A 4 CASSETTI (CM.34);25;27;60;40;54;0,1296;;;
17362;3;2;ERIO SRL;58534;PL/AR;POSTO LAV.3 CASS.+ ASPIR. 800W;38,7;46,7;72;61;44;0,19325;;;N
17362;4;2;ERIO SRL;58534;C4;CASSETTIERA A 4 CASSETTI (CM.34);25;27;60;40;54;0,1296;;;
17362;5;2;ERIO SRL;58534;TRT;CM. TRAV.;40,4;45,4;0;0;0;0,3934;N;;
17362;6;2;ERIO SRL;58534;PM;cm. PIANO LAM.;26,26;30,3;0;0;0;0,101;N;;
17362;7;2;ERIO SRL;58534;PR;PROTEZIONE INOX;2,96;4;68;31;5;0,01054;;;
17362;8;2;ERIO SRL;58534;SM;SUPPORTO MICROMOTORE SERIE DIAMANTE;3,44;4,94;48;45;8;0,01728;;;
17362;9;2;ERIO SRL;58534;ELED;LAMPADA LED RAL 9001;4;6;73;23;23;0,03862;;N;
17362;10;2;ERIO SRL;58534;ELED;LAMPADA LED RAL 9001;4;6;73;23;23;0,03862;;N;
17362;11;2;ERIO SRL;58534;ME;cm. MENSOLA;6,06;8,08;0;0;0;0,0404;N;;
17362;12;2;ERIO SRL;58534;D(5);EL.DISTANZ. 5 CM. PER BANCHI;6,5;7,5;53;10;67;0,03551;;;
17362;13;2;ERIO SRL;58534;6;ELEMENTO 6;20,5;23,5;81;53;67;0,28763;;;
17362;14;2;ERIO SRL;58534;14;ELEMENTO 14;7;8,2;53;10;67;0,03551;;;
17362;15;2;ERIO SRL;58534;10;ELEMENTO 10;21;24;56;53;67;0,19886;;;
17362;16;2;ERIO SRL;58534;1;ELEMENTO  1;34;36,5;56;53;67;0,19886;;;
17362;17;2;ERIO SRL;58534;TRB;CM.TRAV.;22,36;24,4;187;48;35;0,31416;;;
17362;18;2;ERIO SRL;58534;PX;cm. PIANO INOX;21,25;29,64;195;67;41;0,53566;;;
17362;19;2;ERIO SRL;58534;VD/G;VASCA DEC.GESSO GRANDE PLAST+SACCHI;5,5;6,7;56;44;32;0,07885;;;
17362;20;2;ERIO SRL;58534;D(5);EL.DISTANZ. 5 CM. PER BANCHI;6,5;7,5;53;10;67;0,03551;;;
17362;21;2;ERIO SRL;58534;6;ELEMENTO 6;20,5;23,5;81;53;67;0,28763;;;
17362;22;2;ERIO SRL;58534;14;ELEMENTO 14;7;8,2;53;10;67;0,03551;;;
17362;23;2;ERIO SRL;58534;10;ELEMENTO 10;21;24;56;53;67;0,19886;;;
17362;24;2;ERIO SRL;58534;1;ELEMENTO  1;34;36,5;56;53;67;0,19886;;;
17362;25;2;ERIO SRL;58534;TRB;CM.TRAV.;22,36;24,4;188;48;35;0,31584;;;
17362;26;2;ERIO SRL;58534;PX;cm. PIANO INOX;21,25;29,64;195;67;41;0,53566;;;
17362;27;2;ERIO SRL;58534;VD/G;VASCA DEC.GESSO GRANDE PLAST+SACCHI;5,5;6,7;56;44;32;0,07885;;;
17362;28;2;ERIO SRL;58534;9;ELEMENTO 9;28,5;31,5;81;53;67;0,28763;;;
17362;29;2;ERIO SRL;58534;9;ELEMENTO 9;28,5;31,5;81;53;67;0,28763;;;
17362;30;2;ERIO SRL;58534;TRB;CM.TRAV.;19,56;21,25;153;48;35;0,25704;;;
17362;31;2;ERIO SRL;58534;PM;cm. PIANO LAM.;19,89;22,95;159;70;7;0,07791;;;
17362;32;2;ERIO SRL;58534;E07/C;ASP.X PUL. CON PUL.220V  RAL 9001;64;77;90;58;74;0,38628;N;;
17362;33;2;ERIO SRL;58534;ERIOBOX;BOX SGROSSATURA SERIE 2016 RAL 9001;84;105;98;73;146;1,04448;N;;
17362;34;2;ERIO SRL;58534;REL0004;MOTORE 800W 220V;7,2;7,5;30;30;35;0,0315;;;
